Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
0.104164, 0, 0, 0.000000, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
0.207996, 0, 0, 0.000000, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
0.311927, 0, 0, 0.000000, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
0.415872, 0, 0, 0.000000, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
0.519821, 0, 0, 0.000000, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
0.623761, 0, 0, 0.000000, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
0.727709, 0, 0, 0.000000, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
0.831653, 0, 0, 0.000000, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
0.935600, 0, 0, 0.000000, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
1.039541, 0, 0, 0.000000, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
1.143487, 0, 0, 0.000000, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
1.247447, 0, 0, 0.000000, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
1.351406, 0, 0, 0.000000, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
1.455337, 0, 0, 0.000000, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
1.559289, 0, 0, 0.000000, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
1.663232, 0, 0, 0.000000, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
1.767189, 0, 0, 0.000000, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
1.871137, 0, 0, 0.000000, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
1.975095, 0, 0, 0.000000, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
2.079032, 0, 0, 0.000000, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
2.182982, 0, 0, 0.000000, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
2.286935, -1, 0, -0.020148, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
2.390870, -43, 0, -0.866493, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
2.494830, -89, 0, -1.793009, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
2.598764, -114, 0, -2.297237, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
2.702712, -97, 0, -1.954404, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
2.806676, -80, 0, -1.611631, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
2.910608, 22, 0, 0.443335, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
3.014550, 166, 0, 3.344842, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
3.118494, 282, 0, 5.682093, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
3.222444, 345, 0, 6.951095, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
3.326391, 230, 0, 4.634197, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
3.430348, 144, 0, 2.901131, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
3.534288, 75, 0, 1.511253, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
3.638117, 8, 0, 0.161373, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
3.742062, -19, 0, -0.382832, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
3.846013, -140, 0, -2.820707, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
3.949964, -40, 0, -0.805916, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
4.053907, 69, 0, 1.390313, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
4.157852, 300, 0, 6.044721, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
4.261803, 322, 0, 6.487626, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
4.365754, 209, 0, 4.210913, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
4.469708, 134, 0, 2.699742, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
4.573647, -12, 0, -0.241803, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
4.677590, -141, 0, -2.841074, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
4.781542, -298, 0, -6.004019, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
4.885485, -334, 0, -6.729919, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
4.989579, -237, 0, -4.768495, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
5.093379, -155, 0, -3.127469, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
5.197328, -88, 0, -1.773050, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
5.301275, -24, 0, -0.483568, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
5.405218, -95, 0, -1.914199, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
5.509183, -257, 0, -5.177315, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
5.613118, -198, 0, -3.989900, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
5.717122, -102, 0, -2.054039, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
5.821015, -9, 0, -0.181432, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
5.924956, 107, 0, 2.156034, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
6.028905, 233, 0, 4.694553, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
6.132864, 415, 0, 8.360738, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
6.236796, 309, 0, 6.226842, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
6.340749, 211, 0, 4.251127, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
6.444699, 129, 0, 2.599105, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
6.548651, 153, 0, 3.082600, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
6.652607, 317, 0, 6.386580, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
6.756553, 254, 0, 5.117815, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
6.860493, 166, 0, 3.344907, 0.000000
Tempo(s), Ciclos_Enc1, Ciclos_Enc 2, Velocidade_Enc 1(rad/s), Velocidade_Enc 2(rad/s)
6.964439, 100, 0, 2.014888, 0.000000
